序号,题目,作者,来源,发表时间,发表类别,被引,下载
266,2021年《医学信息学杂志》编辑出版重点选题计划,,医学信息学杂志,2021-05-25,期刊,1,53
267,《中医药信息》,,中医药信息,2021-07-28,期刊,,60
268,"智慧促进健康,健康利增智慧——智慧健康引领医药卫生事业发展",王兴华;王光耀;盛良;汪宇;Te Kian Keong,智慧健康,2015-10-20,期刊,5,241
269,广州市人民政府关于印发广州市加快打造数字经济创新引领型城市若干措施的通知,,广州市人民政府公报,2020-05-10,特色期刊,1,33
270,“中国智慧制药2025”杭州宣言,,中国中药杂志,2016-12-15,期刊,,393
271,《中医药信息》,,中医药信息,2021-08-28,期刊,,43
272,AS制药公司慢性病产品在基层医疗市场的营销策略,沈昱,上海交通大学,2018-06-30,硕士,,137
273,博鳌亚洲论坛 全球健康论坛首届大会报告 第三章创新促进健康,,全球健康论坛首届大会报告,2019-06-10,国际会议,,72
274,2021年《医学信息学杂志》编辑出版重点选题计划,,医学信息学杂志,2020-12-25,期刊,,69
275,2018全国两会里的“医药时间”(下) 161名代表、90名委员聚焦热点带来改变,费菲,中国医药科学,2018-04-25,期刊,1,102
276,北京经济 高精尖唱主角,宋龙艳,投资北京,2019-07-05,期刊,,116
277,中国（安徽）自由贸易试验区9个专项推进行动计划方案公布,,传感器世界,2021-02-25,期刊,,62
278,构建智慧医药流通体系,席悦,中国物流与采购,2018-12-02,期刊,,265
279,《实用临床医药杂志》医工结合相关护理细节研究征稿启事,,实用临床医药杂志,2020-10-08,期刊,,66
280,29种科技期刊进入国际前10%,,新闻世界,2021-06-10,期刊,,30
281,成都金温江 健康花园城,,民主法制建设,2021-01-10,期刊,,53
282,"计算引领,健康前行——“科创中国”聚焦健康科技创新应用",,电子世界,2020-12-30,期刊,,54
283,2018互联网医疗人工智能应用企业TOP50,南风,互联网周刊,2018-07-20,期刊,,217
284,政府工作报告中的“科技关键词”,,今日科技,2019-03-25,期刊,,114
285,弱AI时代的药物发现,裴剑锋,2019中国化学会第十五届全国计算（机）化学学术会议论文集,2019-11-14,中国会议,,141
286,2021年《医学信息学杂志》编辑出版重点选题计划,,医学信息学杂志,2021-01-25,期刊,,28
287,速览,,华东科技,2019-07-05,期刊,,18
288,到2020年北京医药健康产业主营业务收入将达2500亿元,姚志国;魏森林,对接京津——改革开放 协同发展论文集,2018-10-30,中国会议,1,85
289,如何理解全球出现的“百年变局”,王德禄,中关村,2019-11-01,期刊,,122
290,《实用临床医药杂志》医工结合相关护理细节研究征稿启事,,实用临床医药杂志,2020-08-23,期刊,,42
291,高等教育对接三大重点产业领域高校地图,,上海教育,2020-10-20,特色期刊,,14
292,《实用临床医药杂志》医工结合相关护理细节研究征稿启事,,实用临床医药杂志,2020-09-23,期刊,,30
293,2020年《医学信息学杂志》编辑出版重点选题计划,,医学信息学杂志,2020-09-25,期刊,,30
294,构建人工智能大健康产业城,桑平起,人大建设,2018-01-05,期刊,,166
295,药店黑科技那些事儿,吴梦月,中国药店,2018-01-15,期刊,1,104
296,威海市人民政府印发关于大力推进“现代优势产业集群+人工智能+互联网”的实施方案的通知,,威海市人民政府公报,2019-12-15,特色期刊,,1
297,2020年《医学信息学杂志》编辑出版重点选题计划,,医学信息学杂志,2020-06-25,期刊,,35
298,广州市荔湾区先行布局 打造人工智能高地,张良亮,广东经济,2017-11-05,期刊,,92
299,天津港保税区,,产业创新研究,2018-09-20,期刊,,192
300,“产业+地产”IAB广州落地路径,郑丽转;曹钊文,房地产导刊,2018-02-01,期刊,1,90
301,2020年《医学信息学杂志》编辑出版重点选题计划,,医学信息学杂志,2020-08-25,期刊,,24
302,关键技术:培育高质量发展的新动能,杨凯;张臻,华东科技,2019-02-05,期刊,,47
303,2020年《医学信息学杂志》编辑出版重点选题计划,,医学信息学杂志,2020-02-25,期刊,,34
304,2020年《医学信息学杂志》编辑出版重点选题计划,,医学信息学杂志,2020-04-25,期刊,,22
305,基于文献计量学的生物医药产业研究热点分析 网络首发,张奇;薛诗瑶;赵晓迪;常军民,医药导报,2023-12-21 08:48,期刊,,603
306,2020年《医学信息学杂志》编辑出版重点选题计划,,医学信息学杂志,2019-12-25,期刊,,36
307,基于人工智能的云译通智能文档翻译系统,马万炯;支炜;李剑;杨龙杰;王婷,四川译讯信息科技有限公司;,2019-12-26,科技成果,,20
309,2020年《医学信息学杂志》编辑出版重点选题计划,,医学信息学杂志,2020-01-25,期刊,,20
310,“智能+”见未来,三井,中国建设信息化,2019-03-30,期刊,,64
311,2018年哪些科技突破将带来新惊喜,,新型工业化,2017-12-20,期刊,,37
312,"让智慧药店“智慧”地生存发展 评《智慧药店,千里之行》",逄增志,中国药店,2018-10-15,期刊,,65
314,2019年上海宝山重大产业项目集中开工仪式举行,,上海信息化,2019-04-10,期刊,,20
315,打造AI创新枢纽,本刊编辑部,广东科技,2019-05-15,期刊,,31
316,动态,,科技新时代,2018-01-10,期刊,,15
317,"这五大新兴产业,有可能改变未来!",,资源再生,2017-03-15,期刊,,48
318,英国政府设立10亿英镑产业发展挑战基金,,全球科技经济瞭望,2017-05-30,期刊,,72
319,2018年哪些科技突破将带来新惊喜?,,科技传播,2018-01-25,期刊,,51
320,政策挑战,樊瑜波,建筑知识,2016-12-08,期刊,1,37
321,第六届中国创新创业大赛湖北赛区互联网和移动互联网行业赛顺利举行,,科技创业月刊,2017-09-10,期刊,,33
322,基于人工智能技术的幽门螺杆菌球形变分子诊断,王昕,中国矿业大学,2023-04-17,硕士,,86
324,基于U-Net卷积神经网络模型的出血性卒中围术期中西医结合治疗回顾性队列研究,张博,辽宁中医药大学,2023-11-01,博士,,344
326,创新资源对战略性新兴产业国际竞争力的影响及中国对策,何姝,河北大学,2023-06-01,博士,,429
328,基于人机结合的A公司呼叫中心服务改进研究,陈林,大连理工大学,2022-12-02,硕士,,112
329,“大健康”保险科技市场主体发展指标的构建与应用,李静柔,上海财经大学,2023-03-07,硕士,,11
330,新兴产业数字创新生态系统演进机理与升级路径研究,许慧杰,哈尔滨理工大学,2023-06-01,硕士,,327
331,AI大模型如何支撑生物医药研发？,钱童心,第一财经日报,2023-02-28,报纸,,236
332,创新型产业集群对区域创新能力的影响研究,张东,对外经济贸易大学,2022-11-01,硕士,,15
333,基于机器学习探究临床及增强CT影像组学特征对肺结节诊断的价值,胡翔宇,湖北医药学院,2022-06-01,硕士,,29
334,基于片段的农药分子设计新方法的开发及应用,王志正,华中师范大学,2023-04-01,博士,,230
335,Y生物医药公司的数字化转型战略研究,胡涛,西南财经大学,2023-03-01,硕士,,86
338,"2018年,哪些科技突破将带来新惊喜",彭茜;林小春,科学中国人,2017-12-25,特色期刊,,1
339,生物医药产业招商平台创业计划书,伍卫星,电子科技大学,2023-03-28,硕士,,1145
340,基于人工智能技术在智能课堂教学设计中的研究应用,冉超,2023年第七届国际科技创新与教育发展学术会议论文集（第二卷）,2023-09-25,国际会议,,52
341,A医药科技股份有限公司发展战略研究,刘珊珊,吉林大学,2023-06-01,硕士,,220
342,国内,,中国科技奖励,2017-12-08,期刊,,15
343,热点切换 三维布局,金一平,股市动态分析,2017-03-11,期刊,,27
345,中国医院药学学科的建设与发展,刘高峰;陈孝;张毕奎;赵荣生;敖海莲,中国药学杂志,2023-11-22,期刊,1,1446
347,未来产业：内涵特征、组织变革与生态建构,王小林;谢妮芸,社会科学辑刊,2023-10-20 11:23,期刊,2,1468
348,眼科人工智能临床研究评价指南（2023）,杨卫华;邵毅;许言午,国际眼科杂志,2023-06-19 10:02,期刊,6,541
349,医药科技期刊深度融合发展路径的探索——以《中国药业》为例,张小林;刘斌;汤华,出版广角,2023-12-30,期刊,1,126
350,人工智能赋能互联网医疗高质量发展研究,单丽瑶;陈冰君;郭云贵,海峡科技与产业,2023-12-25,期刊,,287
351,医药行业的发展趋势与应对策略,武滨,中国药店,2023-11-15,期刊,,444
353,中国互联网医疗监管：三重逻辑分析及实践策略选择,王玉荣,吉林大学,2022-12-01,博士,5,4095
354,药物研发范式变革日新月异,药明康德内容团队,中国医药报,2023-12-16,报纸,,264
356,人力资本对人工智能企业绩效的影响——基于中国282家人工智能上市企业的分析,王学义;何泰屹,中国人口科学,2021-10-28 10:06,期刊,43,4022
357,重庆市生物医药产业发展现状与对策建议——以人才链为牵引加快生物医药高新园区社区建设,龙晖;齐铮;吴昊,中国生物工程杂志,2023-05-25,期刊,3,753
359,《中国医药生物技术》2023年第18卷关键词索引,,中国医药生物技术,2023-12-10,期刊,,85
360,网络靶标理论、关键技术与中医药应用,李梢;张鹏;王鑫;张博;汪博洋,世界科学技术-中医药现代化,2022-09-20,期刊,12,811
361,基于人工智能算法的脑卒中溶栓药物精准治疗：真实世界研究,沈惠文;林永忠;陈淑良;张立红;马春野,中国全科医学,2023-03-17 09:25,期刊,2,495
362,新冠肺炎疫情背景下的中韩人工智能合作,秦鹏飞;李文家,韩国研究论丛,2021-11-30,辑刊,,329
364,基于人工智能的中国股票价格预测与异质性研究,张琳,暨南学报(哲学社会科学版),2023-05-06 13:48,期刊,,1144
365,上海医药数字化转型下盈利模式动因及绩效研究,张露露,河南财经政法大学,2023-05-01,硕士,,500
366,医药企业数字化转型前因组态及其对企业成长的影响,何瑞玉,山东大学,2023-05-20,硕士,,329
367,医药化工领域研究现状和发展态势,尹健;张治国;吉远辉;薛亚平;傅俊杰,中国科学基金,2023-02-10 14:48,期刊,3,753
368,人工智能在血栓栓塞性疾病中的应用进展,徐艳华;张玉泉,血栓与止血学,2023-10-20,期刊,,216
369,2022年新药研发发展态势,李荣;孟晶;赵若春;韩佳;马征远,生命科学,2023-01-19 16:03,期刊,2,1460
371,基于症状关联规律挖掘的2型糖尿病中医辅助智能问诊模型研究,周惠敏,福建中医药大学,2023-06-01,硕士,,168
372,人工智能辅助玉米秸秆的资源化处理及其效能研究,杨旭,东北农业大学,2023-06-01,硕士,,160
373,小儿癫痫疾病的中医辅助诊疗方法设计与研究,朱晓敏,福建中医药大学,2023-06-01,硕士,,169
374,苏州工业园区推进新型工业化的实践探索,刘坤;宫世能,新型工业化,2023-05-10,期刊,1,385
375,完善科技创新体系，加快实施创新驱动发展战略,,人民日报,2023-08-28,报纸,,173
376,中国车企首次亮相东京车展 比亚迪加速国际化,黄博文,每日经济新闻,2023-10-30,报纸,,172
377,大数据背景下的ZD公司药物研发管理研究,张磊,南京邮电大学,2022-12-05,硕士,,697
378,人工智能在新药研发中的应用,钱海;侯凤贞,中国药科大学学报,2023-06-25,期刊,,605
379,人工智能在新药研发中的应用进展,杜晗;吴羿霏;杜新,药学进展,2022-11-25,期刊,3,1336
380,2022年我国生物医药产业发展形势展望,曹慧莉;魏国旭,科技中国,2022-01-25,期刊,15,2817
381,人工智能视域下生命科学交叉学科研究生培养机制,岳海涛;袁希,中国多媒体与网络教学学报(上旬刊),2023-09-01,期刊,,144
382,Z健康科技集团云诊平台发展战略研究,陈瑜,广西师范大学,2023-06-01,硕士,,97
383,基于藏文BERT的藏医药医学实体识别,朱亚军;拥措;尼玛扎西,计算机与现代化,2023-01-15,期刊,2,270
384,基于深度学习的智能投顾基金组合配置研究,陈晓非,北京交通大学,2022-06-01,博士,2,1063
385,我国上市公司信息披露制度失灵问题及解决路径研究,孟铂林,中国政法大学,2020-04-01,博士,45,4404
386,欧盟支持深科技创新的举措及对上海的启示,陈諔文,科技智囊,2023-07-25,期刊,1,111
387,结合数据挖掘、计算机虚拟筛选及体外实验探讨康复新液的临床应用现况及相关作用机制研究,柏林宇,大理大学,2022-05-20,硕士,4,481
388,未来已来 中医药也要搭AI快车,魏冯,四川日报,2023-09-13,报纸,,264
389,全球人工智能辅助药物研发基础研究态势分析,陈娟;王婷婷;欧阳昭连,中国新药杂志,2022-07-15,期刊,4,831
390,从全球药品监管科学视角看计算机建模与仿真新方法的发展现状及趋势,赵宇;张静;张春明;张伟,中国食品药品监管,2023-07-15,期刊,1,108
391,源语语篇结构对英汉交替传译难度影响的研究,刘韫玉,北京外国语大学,2023-06-01,硕士,,74
392,中医药人工智能研究生培养模式构建与实践——基于知识生产模式转型理论,孙荪;胡孔法,时珍国医国药,2023-06-20,期刊,,255
393,论人工智能时代发明专利授权条件的调适,余扶阳,中国发明与专利,2022-05-12,期刊,4,773
394,人工智能生物学——生物学3.0,周祯;闫超;张辰宇,中国科学:生命科学,2022-02-25 16:11,期刊,6,1197
396,电子鼻技术应用于川贝母真伪及规格辨识的可行性分析,冯文豪;田亮玉;施钧瀚;桂新景;张慧杰,中国实验方剂学杂志,2021-01-12 09:24,期刊,22,827
397,产城融合背景下科技产业园复合化设计研究,罗梦婕,华南理工大学,2020-10-20,硕士,18,1926
398,我国生物医药产业现状及区域化发展战略,李菲;龙耀辉;赵劲松;任红梅;张恬,中国生物工程杂志,2020-08-15,期刊,50,3534
399,G医药公司全渠道营销策略研究,岑曦,广西大学,2022-06-01,硕士,1,1036
400,专利视角下的人工智能领域产学研协同创新网络研究,黄小博,厦门理工学院,2022-06-01,硕士,1,869
401,人工智能在新药发现中的应用进展,黄芳;杨红飞;朱迅,药学进展,2021-07-25,期刊,8,2824
402,完善科技创新体系，加快实施创新驱动发展战略,,人民政协报,2023-08-26,报纸,,76
403,我国医药卫生相关科技创新基地建设简析,田君;曹原;张楠楠;樊建军,实验技术与管理,2022-10-28 16:44,期刊,2,216
404,图片新闻,,中国科技产业,2023-12-15,期刊,,6
405,科技支撑沈阳“药”“械”产业向新求变,郝晓明;李诏宇,科技日报,2023-12-06,报纸,,25
406,数智化驱动医药产业新发展,蒋莹,中国发展观察,2023-08-20,期刊,,88
407,基于深度学习的高血压病肝火亢盛证面部色诊研究,李佳佳,中国中医科学院,2020-06-20,博士,21,1027
408,互联网巨头大健康版图,黄贞贞;王鑫,企业管理,2021-09-15,期刊,10,1316
409,医药健康便民服务数字化改革探索与实践——以椒江区“三医”联动应用为例,严欣哲,中国食品药品监管,2022-10-15,期刊,3,208
410,智能医疗应用现状和关键技术定性分析,蔡宏果;元昌安,广西教育学院学报,2022-08-10,期刊,1,623
411,中国健康服务业发展研究,程显扬,辽宁大学,2020-11-01,博士,12,1603
412,基于证素原理的中医眼底望诊方法建立及2型糖尿病视网膜病变的临床验证研究,李书楠,湖南中医药大学,2022-05-01,博士,1,429
413,人工智能与制造业融合:基本内涵、发展态势与内在逻辑——兼论成都人工智能与制造业融合的探索与实践,成都市发改委重大课题组,成都大学学报(社会科学版),2021-02-23,期刊,11,1251
414,基于人工智能的量化多因子模型的拓展及在中国股票市场上的应用,李兴有,中国社会科学院研究生院,2020-04-01,博士,14,3560
415,科大讯飞高研发投入为何没有提升盈利能力？——基于股权激励视角的分析,任刚,中国矿业大学,2022-05-19,硕士,,867
416,探索人工智能新前沿 中国经济再迎新机遇,沈愷;吴听;张芳宁;童潇潇,机器人产业,2022-09-25,期刊,,419
417,人工智能对中国制造业价值链攀升的影响研究,杨丹,浙江大学,2022-03-04,硕士,1,812
418,近5年图情SSCI期刊人工智能伦理研究文献分析与启示,黄崑;徐晓婷;黎安润泽;徐峰,现代情报,2021-06-01,期刊,5,1754
419,科创板人工智能企业的价值评估研究,郑世成,河北工程大学,2021-12-01,硕士,2,907
420,药品生产技术专业数智化课程体系的构建,张雨佳;刘香;孙云雷;任玉杰,化工管理,2023-07-11,期刊,,113
421,便秘中医健康管理模型构建研究,许鸿本,福建中医药大学,2022-06-01,硕士,,615
422,医院防止非法统方的对策探讨,张子超;胡媛;符崖,中国卫生标准管理,2023-05-15,期刊,,90
423,大连 构建新一代信息技术产业发展核心区,林青,东北之窗,2023-12-25,特色期刊,,7
424,药物研发领域人工智能应用与创新发展策略探讨,茅鸯对;柳鹏程,中国新药与临床杂志,2021-05-13 15:25,期刊,8,2126
425,我国省实验室建设经验及其对江西的启示,冯雪娇;衡超,科技中国,2022-05-25,期刊,2,472
426,基于卷积神经网络的中医舌象辨识人工智能方法学研究,刘婧玮,北京中医药大学,2020-06-01,博士,12,1408
427,中国工程院发布《全球工程前沿2022》报告,潘锋,中国当代医药,2023-01-28,期刊,,212
428,人工智能产生的技术成果可专利性及其权利归属研究,朱雪忠;张广伟,情报杂志,2018-02-18,期刊,92,2907
429,谷歌两AI部门合并……人工智能大战愈演愈烈,文巧;李孟林;蔡鼎;谭玉涵,每日经济新闻,2023-04-25,报纸,,87
430,江西省人民政府关于印发江西省未来产业发展中长期规划(2023-2035年)的通知,,江西省人民政府公报,2023-02-16,特色期刊,,83
431,人工智能技术影响下的医院门诊大厅空间的研究,孙小迪,沈阳建筑大学,2021-09-08,硕士,4,550
432,数字经济时代的技术融合与应用创新趋势分析,陈晓红,中南大学学报(社会科学版),2018-09-26,期刊,218,7089
433,百亿私募 三季度积极布局三大行业,刘伟杰,中国证券报,2023-10-27,报纸,,41
434,人工智能提升期刊编辑的审核与校对效率,刘芹;毕丽;张芃捷;石芸;孙廷,中国传媒科技,2021-11-15,期刊,10,383
435,面向产业需求的我国高职院校专业结构调整研究——以人工智能（类）专业为例,李薪茹,天津大学,2020-06-01,博士,8,2736
436,人工智能在辅助中医药诊治新冠肺炎中的应用及启示,郭仪;许斌;石岩;胡楠,中华中医药学刊,2021-04-21 10:42,期刊,10,1989
437,苏州杭州人工智能产业发展对比分析,荣雪琴;卜树坡;刘勇,江南论坛,2022-09-15,期刊,1,298
438,基于BERT-BiLSTM-CRF知识抽取模型的民族药知识图谱构建,郑光敏,贵州大学,2021-06-01,硕士,3,955
439,人工智能对进出口贸易的影响研究——机理分析与实证检验,代艾玲,西南财经大学,2022-03-05,硕士,,703
440,北京市“十四五”时期国际科技创新中心建设规划,,北京日报,2021-11-24,报纸,6,284
441,人工智能“听觉”领域前景广阔,吴斌,21世纪经济报道,2023-07-12,报纸,,77
442,澎湃新闻“AI播报”短视频传播分析,吴晓焰,辽宁大学,2021-05-01,硕士,3,803
443,AI渗入健康全产业链 但数据量存局限,唐唯珂,21世纪经济报道,2023-08-04,报纸,,97
444,对医药工业的制造能力与系统化提升的思考,李树德,流程工业,2023-08-20,期刊,,52
445,破晓过后，初日照林 中国人工智能+医疗与生命科学行业研究报告,,艾瑞咨询系列研究报告（2021年第11期）,2021-11-01,中国会议,2,1068
446,科创热土 活力四射,薛鹏,中国纪检监察报,2023-09-16,报纸,,32
447,AI制药价值将迎规模化验证,齐欣,医药经济报,2023-05-01,报纸,,112
448,百亿私募持仓浮出水面 重点布局三大方向,刘伟杰,中国证券报,2023-10-30,报纸,,22
449,生命科学领域数字化进行时 如何加速商业化落地？,季媛媛,21世纪经济报道,2023-08-15,报纸,,43
450,国际复杂局势下 “独角兽”最新发展态势和培育路径,靳婷婷;徐剑;方瑢;路萌,企业管理,2022-06-15,期刊,2,378
451,“新医科”人才分类培养策略与模式探析,沈兴蓉;冯瑞;王德斌,科学咨询(科技·管理),2022-08-10,期刊,,394
452,成都 国际会展之都,,中国会展,2023-09-15,期刊,,58
453,“旋风”席卷 AI智药借势起航,潘少颖,IT时报,2023-09-29,报纸,,57
454,量子赛道 加速奔跑,刘诗瑶,人民日报,2023-04-10,报纸,,97
455,高密度科技产业园的公共空间立体化设计研究,杨泽慧,华南理工大学,2021-04-20,硕士,3,428
456,阿里健康的盈利模式研究,王志灵,中原工学院,2019-05-15,硕士,11,2412
457,基于数字化转型的G生物医药企业的风险管理研究,周杨,东南大学,2022-05-21,硕士,,203
458,国药控股股份有限公司供应链金融案例研究,赵宁,云南财经大学,2020-05-20,硕士,5,1536
459,数字化加速驱动行业变革,赵熠如,服务外包,2023-08-05,期刊,,34
460,苏州工业园区加快推进国家新一代人工智能试验区建设,,新华日报,2023-01-29,报纸,,109
461,基于用户画像的西格列汀药品精准营销,蓝翠,上海财经大学,2021-10-01,硕士,1,381
462,基于人工智能及大数据技术对中药饮片生产质量管控的研究,周明,南京中医药大学,2018-03-21,博士,18,3230
463,健康医疗大数据驱动商业模式创新的机理研究——基于扎根理论的多案例分析,田晋莹,广东药科大学,2021-05-12,硕士,1,1180
464,发展持续提速 数字化驱动行业变革,赵熠如,中国商报,2023-07-13,报纸,,44
465,郑州市人民政府关于印发郑州市“十四五”战略性新兴产业发展总体规划(2021—2025年)的通知,,郑州市人民政府公报,2022-12-08,特色期刊,,55
466,基于中医状态学理论的健康状态辨识算法研究,辛基梁,福建中医药大学,2020-06-01,博士,6,568
467,产城融合背景下产业园空间结构研究,袁梦,山东建筑大学,2018-06-01,硕士,19,729
468,提升上海产业链现代化水平，强化高端产业引领功能,熊世伟;爨谦,科学发展,2021-10-20,期刊,1,564
469,产业风暴,,华东科技,2023-09-05,期刊,,7
470,长三角产业集群的高质量发展策略研究,李丹凝,东南大学,2021-05-24,硕士,1,733
471,人工智能让新药研发减少“人工”,唐泽文,四川日报,2022-09-24,报纸,,350
472,论用艺术提升医学博物馆的公共性,叶丽（盖娅丽丽）（Lily Gaia Ye）,南京艺术学院,2021-03-21,博士,1,1088
473,商务印书馆新书介绍《汉语新词语词典(2000—2020)》,,中国语文,2023-05-10,期刊,,123
474,高价值数据挖掘与人工智能技术加速创新药物研发,郑明月;蒋华良,药学进展,2021-07-25,期刊,3,1393
475,中共北京市委 北京市人民政府关于印发《北京市“十四五”时期国际科技创新中心建设规划》的通知,,北京市人民政府公报,2022-03-07,特色期刊,3,68
476,成都 国际会展之都,,中国会展,2023-04-15,期刊,,105
477,当专业遇上专业,,求学,2023-09-01,特色期刊,,4
478,我国生物医药行业迈入创新发展新赛道——访中国科学院院士、中国科学院上海药物研究所陈凯先研究员,潘锋,中国医药科学,2022-05-15,期刊,1,440
479,第七届世界智能大会隆重召开,付晓,中国会展(中国会议),2023-05-30,期刊,,13
480,数字健康业态类型评价分析及思考,刘頔;李韬;邢悦;冯贺霞,医学信息学杂志,2021-05-25,期刊,3,392
481,私募重点调研方向明确 热门调研标的浮出水面,王辉,中国证券报,2023-09-06,报纸,,15
482,以高瓴资本投资药明康德为例的医疗产业投资案例分析,卢金海,广东工业大学,2021-05-01,硕士,,1112
483,基于NLPIR的人工智能新闻事件的语义智能分析,齐小英,信息与电脑(理论版),2019-10-25,期刊,17,913
484,论人工智能时代中等职业教育培养目标的变革——以广西某中职学校为例,冯明丛,广西师范大学,2020-06-01,硕士,4,483
485,科技型中小企业盈利能力分析,许彩玲,中国乡镇企业会计,2021-09-10,期刊,1,4068
486,五大外包领域并进 细分行业精彩呈现,陈韬,服务外包,2023-06-05,期刊,,27
487,人工智能背景下高科技产业园设计研究——以浦口高新区高科技产业园为例,王和平,南京工业大学,2020-05-01,硕士,3,758
488,人工智能生成发明的专利法保护研究,陈力瑞,中南财经政法大学,2020-05-01,硕士,4,489
489,推动长三角产业转型升级的路径探讨,陈勇鸣,上海企业,2022-03-10,期刊,1,209
490,神经科学和类脑人工智能发展:未来路径与中国布局——基于业界百位专家调研访谈,阮梅花;袁天蔚;王慧媛;王超男;傅璐,生命科学,2017-03-10 10:23,期刊,21,3237
491,医疗人工智能准入标准研究,赵悦,华中科技大学,2021-05-01,硕士,1,322
492,具有认知特性的贝叶斯网络结构学习方法研究,赵建喆,东北大学,2014-10-01,博士,10,1197
493,福建省人民政府办公厅关于印发福建省“十四五”战略性新兴产业发展专项规划的通知,,福建省人民政府公报,2022-05-20,特色期刊,,98
494,促进我国中药产业发展的财税政策研究,江山,吉林大学,2021-06-01,硕士,,473
495,AI工具化时代，做创造者，不做工具人!,本报编辑部,医药经济报,2023-05-01,报纸,,83
496,人工智能分析中西药联用治疗糖尿病视网膜病变的疗效观察,孙开放,山东中医药大学,2021-06-20,硕士,1,211
497,“AI+元宇宙”开启数字经济新航线,李洋,中国高新技术产业导报,2022-09-12,报纸,,394
498,郑州市人民政府关于印发郑州市新基建建设示范区发展规划(2021—2025年)的通知,,郑州市人民政府公报,2022-04-10,特色期刊,1,74
499,“创新寒武纪”，上海生物医药产业大有可为,张懿,文汇报,2022-11-15,报纸,,118
500,人工智能视域下药师的发展思考,赵文敏;喻小勇;田侃,卫生经济研究,2019-07-25 16:59,期刊,8,739
501,医共体智能审方系统分析与设计,葛俊爽,华中科技大学,2021-05-01,硕士,,398
502,成都 国际会展之都,,中国会展,2023-02-15,期刊,,90
503,科技股全线调整 沪指退守3300点,徐蔚,上海证券报,2023-04-22,报纸,,30
504,人工智能时代背景下我国西部地区县级综合医院建筑优化设计研究,李世熠,重庆大学,2020-06-01,硕士,2,519
505,人工智能技术在医学领域应用的伦理问题研究,陈苑斌,武汉理工大学,2019-03-01,硕士,4,1773
506,深圳华康全景信息有限公司发展战略研究,戴清华,湖南大学,2022-03-20,硕士,,75
507,生物医药科技前沿领域的识别研究,张婷;陈娟;欧阳昭连,现代生物医学进展,2019-01-30,期刊,10,582
508,科技创新不停步 凝心聚力写未来,洪姝翌,江苏经济报,2023-05-22,报纸,,15
509,应用人工智能技术分析首诊COVID-19患者肺部CT影像学特点,刘书铭;曾照军;敖峰;谢兴武;贺欢,湖北医药学院学报,2021-06-25,期刊,1,407
510,湖北省产业集群发展与升级研究——探索产业集群内大中小企业融通发展,乔冰彬,长江大学,2020-05-01,硕士,1,1073
511,外刊,,中国医院院长,2023-09-01,期刊,,4
512,互联网技术应用对传统医药营销模式的影响研究,张雨琪;童彤;毛思懿;刘冬明;张珮,中国管理信息化,2019-10-15,期刊,16,898
513,“企”力向价值链中高端跃升,李周羲;周书婷;许小燕,产城,2022-04-25,期刊,,82
514,杭州人工智能产业基础和企业图谱,,国际人才交流,2022-02-15,期刊,,270
515,重庆市人民政府关于印发重庆市战略性新兴产业发展“十四五”规划(2021—2025年)的通知,,重庆市人民政府公报,2022-04-30,特色期刊,1,47
516,陈潮祖医案“五经五纬”方证对应数字化模型研究,肖晔,成都中医药大学,2020-07-01,博士,2,310
517,行业生命周期视角下量化多因子选股策略,何吓心,华南理工大学,2021-04-15,硕士,,283
518,基于医学信息的智能化决策服务研究,段永璇;甄天民;张睿;席敏;赵悟,医学信息学杂志,2021-11-25,期刊,1,218
519,AI医疗背景下医学人才培养改革的探索和思考,汪秀衡;胡恒境,科教文汇(下旬刊),2021-12-30,特色期刊,,344
520,后以药养医时代公立医院药房改革模式初探,殷婷;汤少梁;杨泽华;臧运森;陈文静,中国医院管理,2019-01-05,期刊,9,558
521,人工智能趋势下医学影像学课程的改革与探索,吴昊;汪燕;安娜;徐霖,山西青年,2021-12-23,特色期刊,2,192
522,人工智能分析止血祛瘀明目片对瘀血伤络，阴虚内热型视网膜静脉阻塞的临床疗效,顾冉冉,山东中医药大学,2021-06-10,硕士,,193
523,普适医疗伦理问题研究,谢亚可,湖南师范大学,2017-06-01,博士,6,1047
524,构建以接受性为核心的人工智能伦理,张正清,中国科技论坛,2019-09-05,期刊,7,567
525,AI再爆发引领情绪回暖 两市成交总额连续4日破万亿元,徐蔚,上海证券报,2023-04-08,报纸,,23
526,数学算法在人工智能中的应用,黄晓军,电子技术,2021-03-20,期刊,4,599
527,我国省级行政区医疗人工智能相关政策分析,胡可慧;陈校云;宋杨杨;张曙欣;冯力,中国数字医学,2019-03-15,期刊,10,459
528,成都国际会展之都,,中国会展(中国会议),2023-01-30,期刊,,60
529,肺癌气阴两虚证、气滞血瘀证舌象客观化研究,何思妹,湖南中医药大学,2020-06-01,硕士,2,231
530,基于rNPV模型的亚盛医药企业价值评估,唐卓,华中科技大学,2020-11-01,硕士,2,147
531,基于Python语言的学术论文数据挖掘与分析——以医疗人工智能相关学术论文为例,刘焕英,新媒体研究,2021-03-10,期刊,,759
532,人工智能检测技术在CT诊断肋骨骨折中的临床应用价值,郭宝静,郑州大学,2020-03-01,硕士,1,517
533,基于胸部CT图像的人工智能对肺癌诊断价值的meta分析,王家庆,暨南大学,2021-04-01,硕士,,186
534,人工智能主题股票的投资风险分析——基于VaR和Copula模型视角,陈凌鑫,哈尔滨工业大学,2019-06-01,硕士,2,759
